timestamp,thrust,z,torque_x,torque_y,torque_z,roll,pitch,yaw,p,q,r,vx,vy,vz,mass,inertia_xx,inertia_yy,inertia_zz,trajectory_id
1.09,1.3180543184280396,-3.2958126068115234,4.326941962062847e-06,-2.9573941446869867e-06,4.96955090056872e-06,0.09728113561868668,-0.05071450397372246,0.0472443662583828,0.07749584317207336,-0.03666513040661812,0.040180619806051254,0.0,0.0,-7.6078362464904785,0.068,6.86e-05,9.2e-05,0.0001366,0.0
1.1,1.3180078268051147,-3.356607437133789,4.338698545325315e-06,-2.9327675292734057e-06,4.9362006393494084e-06,0.09791853278875351,-0.051055699586868286,0.04755184426903725,0.07686283439397812,-0.03632661700248718,0.039874956011772156,0.0,0.0,-7.678038120269775,0.068,6.86e-05,9.2e-05,0.0001366,0.0
1.11,1.3179689645767212,-3.4181127548217773,4.352451924205525e-06,-2.9085711048537632e-06,4.902874024992343e-06,0.09855296462774277,-0.051395319402217865,0.047858040779829025,0.07623268663883209,-0.0359896644949913,0.039570581167936325,0.0,0.0,-7.748275279998779,0.068,6.86e-05,9.2e-05,0.0001366,0.0
1.12,1.3179380893707275,-3.480365753173828,4.368005193100544e-06,-2.8847598514403217e-06,4.869385975325713e-06,0.09918474406003952,-0.05173351615667343,0.04816311225295067,0.07560505717992783,-0.03565409779548645,0.03926733881235123,0.0,0.0,-7.818597316741943,0.068,6.86e-05,9.2e-05,0.0001366,0.0
1.1300000000000001,1.3179150819778442,-3.5434226989746094,4.385133706819033e-06,-2.861340590243344e-06,4.835905656364048e-06,0.09981425106525421,-0.052070505917072296,0.048467233777046204,0.07497958838939667,-0.0353197380900383,0.03896504268050194,0.0,0.0,-7.889053821563721,0.068,6.86e-05,9.2e-05,0.0001366,0.0
1.1400000000000001,1.3179000616073608,-3.6073246002197266,4.403583716339199e-06,-2.8382582968333736e-06,4.802408966497751e-06,0.1004418209195137,-0.05240645259618759,0.04877057671546936,0.07435593008995056,-0.03498638793826103,0.038663528859615326,0.0,0.0,-7.959701061248779,0.068,6.86e-05,9.2e-05,0.0001366,0.0
1.1500000000000001,1.317893385887146,-3.672130584716797,4.4231869651412126e-06,-2.8154890969744883e-06,4.768855887959944e-06,0.10106785595417023,-0.05274156853556633,0.04907333105802536,0.07373369485139847,-0.034653857350349426,0.03836260735988617,0.0,0.0,-8.03059196472168,0.068,6.86e-05,9.2e-05,0.0001366,0.0
1.16,1.3178950548171997,-3.737894058227539,4.443718808033736e-06,-2.7930136639042757e-06,4.735270522360224e-06,0.10169273614883423,-0.05307604745030403,0.04937567934393883,0.07311248034238815,-0.03432193771004677,0.03806209936738014,0.0,0.0,-8.101786613464355,0.068,6.86e-05,9.2e-05,0.0001366,0.0
1.17,1.317905068397522,-3.8046789169311523,4.46500962425489e-06,-2.770816763586481e-06,4.701644229498925e-06,0.10231687873601913,-0.0534101203083992,0.049677830189466476,0.07249187678098679,-0.03399040922522545,0.03776179254055023,0.0,0.0,-8.173345565795898,0.068,6.86e-05,9.2e-05,0.0001366,0.0
1.18,1.3179235458374023,-3.872553825378418,4.486637863010401e-06,-2.7488363230077084e-06,4.667977918870747e-06,0.10294073820114136,-0.053744010627269745,0.04997998848557472,0.07187144458293915,-0.03365905582904816,0.037461474537849426,0.0,0.0,-8.245332717895508,0.068,6.86e-05,9.2e-05,0.0001366,0.0
1.19,1.31795072555542,-3.94158935546875,4.508575784711866e-06,-2.7270577902527293e-06,4.6343357098521665e-06,0.10356476157903671,-0.054077956825494766,0.05028238520026207,0.07125072926282883,-0.03332763537764549,0.03716092184185982,0.0,0.0,-8.317818641662598,0.068,6.86e-05,9.2e-05,0.0001366,0.0
1.2,1.3179864883422852,-4.01186466217041,4.530457317741821e-06,-2.7054552447225433e-06,4.600701231538551e-06,0.104189433157444,-0.05441220849752426,0.050585247576236725,0.07062924653291702,-0.03299589827656746,0.036859914660453796,0.0,0.0,-8.390869140625,0.068,6.86e-05,9.2e-05,0.0001366,0.0
1.21,1.3180307149887085,-4.083463668823242,4.552029622573173e-06,-2.6839898055186495e-06,4.567099495034199e-06,0.10481522977352142,-0.05474702641367912,0.05088881403207779,0.07000650465488434,-0.03266358748078346,0.036558203399181366,0.0,0.0,-8.464561462402344,0.068,6.86e-05,9.2e-05,0.0001366,0.0
1.22,1.318083643913269,-4.156475067138672,4.573207661451306e-06,-2.6626273665897315e-06,4.533514129434479e-06,0.10544268786907196,-0.05508268252015114,0.05119334161281586,0.06938198208808899,-0.03233043849468231,0.03625553473830223,0.0,0.0,-8.53897476196289,0.068,6.86e-05,9.2e-05,0.0001366,0.0
1.23,1.3181452751159668,-4.2309980392456055,4.593401627062121e-06,-2.641321088958648e-06,4.4999692363489885e-06,0.10607238858938217,-0.055419471114873886,0.051499105989933014,0.0687551200389862,-0.03199616074562073,0.035951633006334305,0.0,0.0,-8.614188194274902,0.068,6.86e-05,9.2e-05,0.0001366,0.0
